Id,Responsavel,Descricao,Numero,CompletedWork,ClosedDate
16023,Paulo A. Lot,"Copied from Repro Steps when changed from Bug to User Story CNPJ: 07134002000112    NOME FANTASIA: POSTO CENTRAL DE CORDEIRO    RELEASE:         Menu do sistema: Metaposto > Utilitários > Configurações > Integração > TicketLog     Problema: Integração TicketLog não está enviando algumas NF-e - Erro 404  Detalhamento:   Realizamos a validação que a integração da TicketLog não está enviado algumas NF-e, retornando mensagem de erro 404, realizamos algumas validações em comparação com transações com mensagem &quot;OK&quot;, e não foi possível identificar o que esta ocasionando o erro em notas especificas.  Acesso Anydesk:1240913434    Evidências:               RETORNO DO N3:      Lucas Marquini - Suporte N322/04/2026 11:03Ação interna   21 Bom dia!   Release do cliente: Oficial R16-03  Link base de dados do global: https://mega.nz/fm/SjBjiBAb  Menu Sistema: Metaposto > Integração TicketLog    Fato: Cliente esta com várias nfce pendentes na tabela de envio com retorno da API da ticketlog '%404-Retorno não tratado API TIcketLog%'Causa: Em contato com o Felipe- TicketLog foi passado a relação de documentos e ele disse que praticamente todos que retornam esse erro  é referente a &quot;dataHoraCupom&quot; enviada no conteúdo que diverge da datahora da transação que consta na ticketlog, eles possuem um limite de 10minutos que   esta sendo excedido.Ação  Segue evidências de uma venda de Ex, creio que seria preciso um tratamento na dataHoraCupom diante dessa divergência da data/hora emissão do documento  data/hora da transação do cartão e/ou data/hora abastecimento.  Pela PROCEDURE [Integracao.TicketLog].[PC_GerarControleEnvioDados] vimos que pegaria da tabela   PDV_PagamentoDocumentoFiscalCartao, coluna DataHoraTransacaoComprovante, porém ela esta null no banco.        Evidências:  Enviado pelo Meta  RETORNO: (0)  404-Retorno não tratado API TIcketLog    {&quot;chaveAcesso&quot;: &quot;15260407939940000190650010002028651612986840&quot;,&quot;valorCupom&quot;: 351.45,&quot;dataHoraCupom&quot;: &quot;2026-04-09T15:51:13-03:00&quot;,&quot;volumeAbastecido&quot;: 45.00,&quot;numeroAutorizacao&quot;: 000000,&quot;tipoTEF&quot;: 0}   Consta na TicketLog &quot;dataHoraCupom&quot;: &quot;2026-04-09T13:40:00-03:00&quot;,     -     10312795    351.45    2026-04-10T11:26:16-03:00    45.00    0",647680,,2026-04-28T17:09:54.037Z
16024,Paulo A. Lot,"Copied from Repro Steps when changed from Bug to Atendimento CNPJ: 19733341000102     Nome/Razão Social do Cliente: POSTO IRMAOS AUGUSTO LTDA  Release:        Anydesk: 171123168  Menu do Sistema:    PDV -> Emissão de Documentos   Descrição da Situação:  Cliente quer emitir 5 anos em contingência de datas variadas, todas estão com erro &quot;NFe emitida em contingência FS-DA, aguarde a resolução dos problemas e faça a transmissão posteriormente!&quot;  Observei que estão abortadas no banco  Cliente quer processar as notas           Análises Preliminares:  Pelo banco de dados, observei que foram abortadas            retorno do n3:      Lucas Marquini - Suporte N322/04/2026 13:54Ação interna   4 Bom dia!   Release do cliente: Oficial R08-12  Link base de dados Pdv + Ger:  https://mega.nz/folder/W7BT1TaB#bJObdpx6Iw67G76a7mLhGQ  Menu Sistema: Pdv / NFE(Módulo Emissor Nfe configurado é o PDV)    Fato: 5 NFE(nota de cupom) em contingência com mensagem 'NFe emitida em contingência FS-DA, aguarde a resolução dos problemas e faça a transmissão posteriormente!'  Porém não consta emitida na Sefaz e nem inutilizadas.  Não gerou xml de envio nem gravou log de Envio de Xml  Ao tentar reprocessar não mudou o retorno do status.Causa: NFE de MG prazo para confirmação em contingencia é de 7 dias, passando o prazo precisa inutilizar as numerações.  Como prazo excedeu o documento ficou pendente com essa mensagem.Ação  Na documentofiscal constam como cancelado = 1, justificativa = 'NFe abortada por problemas na emissão'.  Pelas evidências não foi abortado via banco.  Mensagem de Entrada em Contingencia no Pdv, não localizei no código, 'ENTRADA AUTOMÁTICA, ERRO NAO TRATADO'.  Cliente usa contingência automática, estava ativo para confirmação automática da contingência NFE,   com isso estaremos enviando ao Dev. Fiscal para entender porque a NFE não foi confirmada na Sefaz, caso ocorreu algum problema analisar  porque não gerou logEnvio e caso o sistema tenha tentado abortar  o documento(cancelado = 1 na documentofiscal) porque o processo não se  concretizou até o fim.    Evidências:                    Banco do Ger",652239,,2026-04-29T18:27:23.693Z
16181,maykon.elias,,,,2026-04-28T11:39:11.603Z
16191,Ivan Pionelli Junior,"mapear os ultimos 30 dias Classificar os BUGs por tipo (falah dev, suporte, teste....) se possível tb a area (estoque, emissao....) Classificar os principais impedimentos (falta de requisitos, demora retorno....)",,,2026-05-04T10:33:28.873Z
16436,Julio Andreata,"Como Sistema Metanet  Quero Atualizar automaticamente as tabelas de carga tributária IBPT e FECOMBUSTÍVEIS  Para Garantir que os documentos fiscais exibam corretamente os tributos conforme exigido pela legislação  Descrição Técnica Implementar atualização das tabelas com base nos arquivos oficiais disponibilizados para Maio/2025, garantindo que:  A tabela IBPT seja aplicada para todos os produtos A tabela FECOMBUSTÍVEIS sobrescreva/ajuste os produtos de combustíveis quando aplicável O sistema considere a vigência correta da tabela  Regras de Negócio  A tabela IBPT é obrigatória para todos os produtos A tabela FECOMBUSTÍVEIS deve ser aplicada especificamente para combustíveis Caso existam divergências, priorizar tabela específica (combustíveis) Documentos já emitidos não devem ser alterados A tabela deve ser aplicada conforme data de emissão  Critérios de Aceite Cenário 1 – Atualização realizada com sucesso Dado que a nova tabela foi importada Quando o sistema concluir o processamento Então os dados devem estar disponíveis para uso imediato  Cenário 2 – Emissão de NFC-e após atualização Dado que a tabela foi atualizada Quando emitir uma NFC-e Então o percentual de carga tributária deve refletir a nova tabela  Cenário 3 – Produto combustível Dado um produto combustível Quando emitir documento fiscal Então deve utilizar a tabela FECOMBUSTÍVEIS  Cenário 4 – Histórico preservado Dado um documento emitido antes da atualização Então ele deve manter os valores antigos",,,2026-05-04T16:47:42.310Z
16463,maykon.elias,,,,2026-05-04T17:50:01.047Z
16467,Paulo A. Lot,"Copied from Repro Steps when changed from Bug to Atendimento Boa tarde!    https://discord.com/channels/1417558395036373095/1499419144930594836/1499479166377005089  Fato:  654548 - [SETOR B] - CARGA MOVIMENTAÇÃO - A subconsulta retornou mais de 1 valor. Isso não é permitido quando a subconsulta segue um =, !=, <, <=, >, >= ou quando ela é usada como uma expressão.    Contexto Resumido:  Cliente em release Oficial 04/03/26 Rev 14/04/26 (branch: oficiais/Oficial_04_03_2026_R.14_04_2026), existem 277 documentos pendente processamento na carga com seguinte exceção    --Aviso: o valor nulo é eliminado por uma agregação ou outra operação SET.  --Aviso: o valor nulo é eliminado por uma agregação ou outra operação SET.  --Aviso: o valor nulo é eliminado por uma agregação ou outra operação SET.  --Msg 3930, Nível 16, Estado 1, Procedimento CargaMovimentacao.PC_ProcessaDocumentoPendente, Linha 38 [Linha de Início do Lote 26]  --A transação atual não pode ser confirmada nem oferecer suporte a operações que gravam no arquivo de log. Reverta a transação.  --Msg 90012, Nível 16, Estado 1, Procedimento CargaMovimentacao.PC_ProcessaDocumentoPendente, Linha 43 [Linha de Início do Lote 26]  --Erro identificado na procedure: CargaMovimentacao.PC_ProcessaDocumentoPendente  --Número do erro     : 512  --Severidade         : 16  --Estado             : 1  --Procedure          : TG_EST_EstoqueFisicoAnalitico_AI  --Linha              : 70  --Mensagem           : A subconsulta retornou mais de 1 valor. Isso não é permitido quando a subconsulta segue um =, !=, <, <= , >, >= ou quando ela é usada como uma expressão.  --Mensagem 3998, Nível 16, Estado 1, Linha 27  --Uma transação não confirmável foi detectada no fim do lote. A transação foi revertida.    Validações suporte-n3-fiscal:  1. Conferi documento e itens, tudo Ok;  2. Conferi almoxarifado no cadastro de caixa e item dos documentos tudo Ok;  3. Trigger TG_EST_EstoqueFisicoAnalitico_AI na base do cliente habilitada e identica a da release e master;    Em anexo consultas SQL    Causa:  Em validação com Rodolfo [Célula Fiscal], foi identificado que a tabela CFG_MovimentoEstoque tem registros em duplicidade, por este motivo o sistema retornava exceção na Trigger TG_EST_EstoqueFisicoAnalitico_AI.    1. Deletado registro em duplicidade, de Id 0;      2. Implementadas melhorias na Trigger TG_EST_EstoqueFisicoAnalitico_AI; (alteracao_TG_EST_EstoqueFisicoAnalitico_AI.sql      Link do Acionamento  https://discord.com/channels/1417558395036373095/1499461529605771375    Ação:  Pontual: Aplicado SQL conforme anexo.  Definitiva: Ticket encaminhado à Célula Fiscal para validar melhorias aplicadas na trigger e agregar em release.       Qualquer dúvida, estou à disposição.Atenciosamente,",,,2026-05-04T17:11:37.980Z
16567,maykon.elias,,,,2026-05-07T19:15:04.707Z
16575,Luiz Fernando Rodrigues Pereira,"Início do atendimento TK 654895 às 10:00. Às 10:29, a DLL foi enviada para o suporte testar. Lucas retornou às 11:36 informando que ocorreu o mesmo erro. Às 12:12, outra DLL foi enviada. Às 15:00, Lucas retornou informando que a DLL funcionou. A correção foi enviada, pois já existia outra DLL de outra célula. Esse atendimento gerou o card 16572.",,,2026-05-05T19:30:19.983Z
16589,maykon.elias,,,,2026-05-06T19:32:27.593Z
16688,Luiz Fernando Rodrigues Pereira,As 08:30 Fabio me acionou para ver um erro de build no pr referente a pipeline ##[error]The nuget command failed with exit code(1) and error(Unable to find version '1.1.0' of package 'DevExpress'. [https://pkgs.dev.azure.com/metanetsistema/52df0314-6e0a-4576-9457-b2eb9727b61b/_packaging/bd0f2b76-1392-44e9-83d0-a6d6a5b2dd8f/nuget/v3/index.json:](https://pkgs.dev.azure.com/metanetsistema/52df0314-6e0a-4576-9457-b2eb9727b61b/_packaging/bd0f2b76-1392-44e9-83d0-a6d6a5b2dd8f/nuget/v3/index.json:) Unable to load the service index for source [https://pkgs.dev.azure.com/metanetsistema/52df0314-6e0a-4576-9457-b2eb9727b61b/_packaging/bd0f2b76-1392-44e9-83d0-a6d6a5b2dd8f/nuget/v3/index.json](https://pkgs.dev.azure.com/metanetsistema/52df0314-6e0a-4576-9457-b2eb9727b61b/_packaging/bd0f2b76-1392-44e9-83d0-a6d6a5b2dd8f/nuget/v3/index.json). Response status code does not indicate success: 403 (Forbidden - User 'ba65473c-de5e-4a46-b22a-6c426a93184f' lacks permission to complete this action. You need to have 'ReadPackages'. (DevOps Activity ID: 33DE7AE1-4829-40A3-8AFF-73D2C71DC74C)). [https://api.nuget.org/v3/index.json:](https://api.nuget.org/v3/index.json:) Package 'DevExpress.1.1.0' is not found on source '[https://api.nuget.org/v3/index.json](https://api.nuget.org/v3/index.json)'. Corrigido problema de permissão nos builds da pipeline as 09:30 As 09:30 iniciei uma call com o Rodolfo sobre card de cache card 15523 As 10:00 terminei uma call com o Rodolfo sobre como iriamos proceder com o card 15523 As 10:25 entrei em uma call com o fabio nobre a respeito de IA e review Encerrei com o Fabio nobre as 10:42,,,2026-05-06T18:59:20.253Z
16690,maykon.elias,,,,2026-05-06T19:44:44.680Z
16853,Fabio Nobre,https://discord.com/channels/1417558395036373095/1449143453794435072/threads/1501668358540492911   Refente a NFC-e de cupom sem chave de acesso  Atendimento  16:44 ate as 18:12,655259,,2026-05-08T12:14:24.917Z
16854,Fabio Nobre,"https://discord.com/channels/1417558395036373095/1449143453794435072/threads/1501963784984723666 Atendimento  1207 ate  12:11 Possivel solucao         No ELocalIncidenciaIbs      Ta assim [Description(&quot;50101&quot;)] I50101 = 50101,      Coloca o  [Description(&quot;050101&quot;)] I50101 = 5010",654874,,2026-05-08T19:39:07.710Z
